"tempo","diasemana","abertura","maxima","minima","fechamento","volume","media7","media21","media50","media200","desvio14","previsao"
2019-10-21,1,10.7,10.82,10.68,10.82,5496700,10.689668442569673,10.598135148104157,10.616316430581234,10.66415506156202,0.2845687105349067,10.81
2019-10-22,2,10.81,11.21,10.81,11.15,11630400,10.804751331927255,10.648304680094688,10.637245198009422,10.668989339556427,0.3309326126887428,11.1
2019-10-23,3,11.13,11.28,11.1,11.2,7447900,10.903563498945442,10.69845880008608,10.65931401377376,10.674273027720046,0.3711986327453349,10.92
2019-10-24,4,11.24,11.31,10.92,10.98,11783900,10.922672624209081,10.724053454623709,10.67188993480224,10.677315087145718,0.3637858835101087,11.24
2019-10-25,5,11.3,11.51,11.24,11.3,13420800,11.01700446815681,10.7764122314761,10.696521702064897,10.683510956925364,0.3619412046212105,11.25
2019-10-28,1,11.3,11.45,11.25,11.39,5241300,11.110253351117606,10.832192937705544,10.723716929434902,10.6905406986475,0.33876776931624786,11.29
2019-10-29,2,11.34,11.57,11.29,11.49,9224700,11.205190013338205,10.891993579732313,10.753767245927651,10.69849551756643,0.3428072030670281,11.35
2019-10-30,3,11.46,11.63,11.35,11.63,9573400,11.311392510003655,10.95908507248392,10.788129314714803,10.707764218884178,0.34993567554400945,11.42
2019-10-31,4,11.55,11.68,11.42,11.66,11817300,11.398544382502742,11.022804611349018,10.82232032198089,10.717239201780853,0.3586368949494034,11.51
2019-11-1,5,11.69,11.95,11.51,11.67,15918500,11.466408286877057,11.081640555771834,10.855562662295364,10.726719408728307,0.35620563657872883,11.6
2019-11-4,1,11.76,11.93,11.6,11.75,20806700,11.537306215157793,11.142400505247121,10.890638636322997,10.736901305158872,0.36202914704457956,11.55
2019-11-5,2,11.75,11.87,11.55,11.6,17111400,11.552979661368346,11.184000459315564,10.918456729016214,10.74548935187371,0.3557731709893142,10.99
2019-11-6,3,11.74,12.0,10.99,11.55,19047600,11.552234746026258,11.217273144832332,10.943223131799892,10.753494432949594,0.3270265993392207,11.51
2019-11-7,4,11.66,11.98,11.51,11.92,13000600,11.644176059519694,11.281157404393028,10.981528107023426,10.76510145351726,0.30047088514333087,11.69
2019-11-8,5,11.74,11.94,11.69,11.73,15833800,11.665632044639771,11.321961276720934,11.010879945963685,10.774702434079279,0.2560311834366357,11.6
2019-11-11,1,11.62,11.85,11.6,11.81,7051900,11.70172403347983,11.366328433382668,11.042217987298443,10.785003902396898,0.24789769351353377,11.65
2019-11-12,2,11.7,11.93,11.65,11.65,9427300,11.688793025109872,11.392116757620606,11.066052576031838,10.793610828741208,0.23125841100549915,11.5
2019-11-13,3,11.65,11.7,11.5,11.61,8492000,11.669094768832403,11.411924325109641,11.087383847560002,10.801734104077118,0.172944440766577,11.32
2019-11-14,4,11.64,11.65,11.32,11.36,8008700,11.591821076624303,11.407203931917856,11.098074677067453,10.807288988613665,0.18093023877446798,11.35
2019-11-18,1,11.56,11.56,11.35,11.36,9177300,11.533865807468228,11.40291266537987,11.108346258358926,10.812788600667261,0.19594202575081884,11.15
2019-11-19,2,11.41,11.48,11.15,11.2,4934600,11.45039935560117,11.384466059436244,11.111940522737008,10.816641450411867,0.2344916771161343,11.18
2019-11-21,4,11.24,11.49,11.18,11.49,14518600,11.460299516700879,11.394060054032948,11.126766384590459,10.823341535482395,0.22810376515637723,11.38
2019-11-22,5,11.47,11.67,11.38,11.54,8514800,11.480224637525659,11.407327321848134,11.142971624410443,10.830472465477596,0.21770399486409378,11.42
2019-11-25,1,11.52,11.57,11.42,11.47,6650800,11.477668478144244,11.413024838043759,11.155796266590425,10.836835923532547,0.21177296970685697,11.15
2019-11-26,2,11.47,11.5,11.15,11.25,14839500,11.420751358608182,11.3982043982216,11.159490530645703,10.840947008870533,0.21856849201308554,11.18
2019-11-27,3,11.26,11.37,11.18,11.27,5967700,11.383063518956135,11.386549452928728,11.163824235326263,10.845216192861871,0.22814951525463537,11.1
2019-11-28,4,11.29,11.32,11.1,11.32,5085300,11.367297639217101,11.38049950266248,11.16994877511739,10.84994040984832,0.23212121279640158,11.13
2019-11-29,5,11.32,11.34,11.13,11.18,5221800,11.320473229412826,11.362272275147708,11.170342940799062,10.853224584874706,0.20515437049515106,11.13
2019-12-2,1,11.28,11.33,11.13,11.16,6783200,11.280354922059619,11.343883886497915,11.16993733527753,10.856277076567496,0.19756757867441693,10.99
2019-12-3,2,11.21,11.21,10.99,11.13,5238300,11.242766191544716,11.324439896816285,11.168371165266645,10.85900068774593,0.16895671256896766,11.14
2019-12-4,3,11.2,11.27,11.14,11.27,7010400,11.249574643658537,11.319490815287532,11.172356609765993,10.863090233141493,0.14522531036974243,11.23
2019-12-5,4,11.29,11.56,11.23,11.42,7744700,11.292180982743904,11.328628013897756,11.182068115265366,10.868631623856503,0.12540648869085713,11.43
2019-12-6,5,11.47,11.67,11.43,11.49,7020100,11.34163573705793,11.343298194452505,11.194143875451038,10.874814393768379,0.1345693628894127,11.4
2019-12-9,1,11.5,11.59,11.4,11.55,6847500,11.393726802793449,11.362089267684096,11.208099017590214,10.881532658507002,0.14920141690893038,11.44
2019-12-10,2,11.52,11.63,11.44,11.62,4887400,11.450295102095085,11.385535697894634,11.224251997292559,10.888880592253201,0.16076246797221028,11.53
2019-12-11,3,11.67,11.68,11.53,11.62,7466200,11.492721326571314,11.406850634449667,11.239771526810497,10.896155412230781,0.1763050069324195,11.6
2019-12-12,4,11.68,11.82,11.6,11.78,5286800,11.564540994928485,11.44077330404515,11.260956957131654,10.904949885740923,0.21129382519174594,11.18
2019-12-13,5,11.79,11.79,11.18,11.23,36155200,11.480905746196363,11.4216120945865,11.259742958812765,10.908184215236039,0.2080532962269581,11.08
2019-12-16,1,11.28,11.38,11.08,11.14,17089900,11.395679309647273,11.396010995078637,11.255047156506384,10.910490839960058,0.206135814586337,11.14
2019-12-17,2,11.14,11.34,11.14,11.29,10286000,11.369259482235455,11.386373631889668,11.256417856251232,10.914267050507721,0.20308345458872007,11.24
2019-12-18,3,11.24,11.61,11.24,11.59,25128000,11.424444611676591,11.404885119899697,11.269499508947263,10.920990761447944,0.21079987703553738,11.49
2019-12-19,4,11.52,11.61,11.49,11.57,12399600,11.460833458757444,11.41989556354518,11.281283841929723,10.927448564816622,0.2059689532637953,11.37
2019-12-20,5,11.57,11.58,11.37,11.44,21019800,11.455625094068083,11.421723239586527,11.287508004991302,10.932548579097054,0.19205126264002687,11.4
2019-12-23,1,11.45,11.61,11.4,11.61,8071300,11.494218820551062,11.438839308715023,11.300154749893604,10.939289389255293,0.17644942703134706,11.61
2019-12-26,4,11.61,11.71,11.61,11.71,5414500,11.548164115413297,11.46349028065002,11.316227112642874,10.94695815155126,0.176602848776359,11.53
2019-12-27,5,11.76,11.81,11.53,11.53,5796000,11.543623086559972,11.469536618772747,11.324610363127467,10.952759562978612,0.17531989863104394,11.43
2019-12-30,1,11.6,11.68,11.43,11.47,5199500,11.525217314919978,11.469578744338861,11.330311917514626,10.957906233993752,0.1757742618695409,11.5
2020-1-2,4,11.58,11.75,11.5,11.75,6660800,11.581412986189983,11.4950715857626,11.346770273690524,10.965787764003766,0.18563028689248756,11.46
2020-1-3,5,11.82,11.91,11.46,11.46,20340400,11.551059739642488,11.491883259784181,11.351210655114425,10.970705298690296,0.18441527941857383,11.39
2020-1-6,1,11.47,11.87,11.39,11.83,17549700,11.620794804731865,11.522621145258347,11.369986707855038,10.979255494723228,0.20289190031894605,11.61
2020-1-7,2,11.82,11.83,11.61,11.67,5480400,11.6330961035489,11.536019222962132,11.381751934997977,10.986128574377723,0.19995973802158046,11.39
2020-1-8,3,11.72,11.73,11.39,11.48,10030200,11.594822077661675,11.53092656632921,11.385604800292175,10.991042717916253,0.17692232581071657,11.4
2020-1-9,4,11.5,11.59,11.4,11.55,15411600,11.583616558246256,11.532660514844737,11.392051670868952,10.996604481917087,0.1361778820291231,11.45
2020-1-10,5,11.56,11.58,11.45,11.5,3867200,11.562712418684692,11.529691377131579,11.396284938678013,11.001613392544778,0.118200115772895,11.43
